Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
26-May-14,7359.05,-0.10926959,,3.119573858,-1,Risk Free,5.33%,21-05-2004,1560.2,4.721894629,-1,Risk Free,6.59%,,,Mean,0.054017444,,
27-May-14,7318,-0.557816566,,3.137072971,-1,XIRR,13.79%,24-05-2004,1608.85,4.579109302,-1,XIRR,12.72%,,,Standard Error,0.019637384,,
28-May-14,7329.65,0.159196502,,3.132086798,-1,Std. Deviation,23.69%,25-05-2004,1606.7,4.585236821,-1,Std. Deviation,21.12%,,,Median,0.077949842,,
29-May-14,7235.65,-1.282462328,,3.172776461,-1,Sharpe Ratio,0.36,26-05-2004,1598.8,4.60789342,-1,Sharpe Ratio,0.29,,,Mode,0,,
30-May-14,7229.95,-0.078776613,,3.175277837,-1,,,27-05-2004,1586.4,4.643910741,-1,,,,,Standard Deviation,1.024537132,6144.350098,
02-Jun-14,7362.5,1.833346012,,3.118112054,-1,,,28-05-2004,1508.75,4.882916321,-1,,,,,Sample Variance,1.049676335,,
03-Jun-14,7415.85,0.724617997,,3.095680198,-1,,,31-05-2004,1483.6,4.965691561,-1,,,,,Kurtosis,17.57261109,,
04-Jun-14,7402.25,-0.18339098,,3.101367827,-1,,,01-06-2004,1507.9,4.885668811,-1,,,,,Skewness,-1.070368025,,
05-Jun-14,7474.1,0.970650816,,3.071553766,-1,,,02-06-2004,1535.2,4.798788431,-1,,,,,Range,21.74366955,,
06-Jun-14,7583.4,1.462383431,,3.027283277,-1,,,03-06-2004,1495.1,4.927496489,-1,,,7359.05,,Minimum,-12.98046413,1560.2,
09-Jun-14,7654.6,0.938892845,,2.999124709,-1,,,04-06-2004,1521.1,4.843271317,-1,,,8339.35,0.133210129,Maximum,8.763205423,2013.9,0.290796052
10-Jun-14,7656.4,0.023515272,,2.998419623,-1,,,07-06-2004,1542.55,4.775922985,-1,,,8069.65,-0.03234065,Sum,147.0354824,3081.3501,0.530041263
